Sequential with 10 iterations on Linux with 6 x Intel(R) Xeon(R) CPU @ 2.20GHz
1f,=1*60*1000+58*1000+986,=1*1000+321,=1*60*1000+56*1000+928,=2*60*1000+574
1e,=27*1000+378,=125,=27*1000+246,=27*1000+658
1d,=5*1000+814,=56,=5*1000+690,=5*1000+904
1c,=2*1000+35,=27,=1*1000+989,=2*1000+77
1b,=184,=5,=178,=196
1a,=14,=0,=13,=16
2f,=7*60*1000+13*1000+652,=3*1000+994,=7*60*1000+7*1000+737,=7*60*1000+18*1000+810
2e,=1*60*1000+4*1000+207,=298,=1*60*1000+3*1000+734,=1*60*1000+4*1000+648
2d,=8*1000+754,=60,=8*1000+618,=8*1000+854
2c,=783,=5,=774,=794
2b,=66,=6,=60,=79
2a,=19,=0,=18,=21
Parallel with 10 iterations on Linux with 6 x Intel(R) Xeon(R) CPU @ 2.20GHz
1f,=32*1000+743,=504,=31*1000+823,=33*1000+866
1e,=7*1000+969,=181,=7*1000+701,=8*1000+285
1d,=1*1000+970,=47,=1*1000+896,=2*1000+49
1c,=803,=25,=784,=873
1b,=212,=14,=195,=235
1a,=15,=0,=15,=17
2f,=1*60*1000+52*1000+152,=1*1000+653,=1*60*1000+50*1000+636,=1*60*1000+55*1000+974
2e,=17*1000+661,=178,=17*1000+430,=17*1000+916
2d,=2*1000+664,=37,=2*1000+608,=2*1000+725
2c,=419,=18,=392,=455
2b,=84,=4,=77,=94
2a,=26,=1,=25,=30
