os,core,cpu
Linux,56,Intel(R) Xeon(R) CPU @ 2.30GHz
test name,sequential iterations,sequential time,sequential stdev,sequential min,sequential max,parallel iterations,parallel time,parallel stdev,parallel min,parallel max,speedup
1f,3,137410971,8787519,127398954,148792743,3,4575128,303257,4346197,5003663,30.034
1e,3,29344789,1076796,27984878,30618221,3,1158984,186135,966042,1410534,25.319
1d,3,5774075,205975,5489003,5968467,3,406662,225830,235741,725764,14.198
1c,3,1923041,99349,1807909,2050348,3,212349,174342,73713,458240,9.056
1b,3,159145,18859,132804,175939,3,120689,92423,18871,242575,1.318
1a,3,5659,4653,1250,12094,3,6535,5478,1330,14106,0.865
2f,3,441440830,12515794,429211030,458636870,3,14239941,205495,13951130,14412339,31.000
2e,3,70805628,4593868,67259423,77292939,3,2294646,110372,2143224,2403170,30.856
2d,3,8254690,369321,7772898,8670241,3,511224,227485,315374,830183,16.146
2c,3,779405,108706,681301,930961,3,116113,96973,43776,253183,6.712
2b,3,38066,12138,23175,52908,3,32541,16537,13897,54090,1.169
2a,3,6542,6772,1607,16118,3,8464,7658,3017,19294,0.772
