os,core,cpu
Linux,64,Intel(R) Xeon(R) CPU @ 2.30GHz
test name,sequential iterations,sequential time,sequential stdev,sequential min,sequential max,parallel iterations,parallel time,parallel stdev,parallel min,parallel max,speedup
1f,3,130882736,8510750,122990640,142698690,3,4897977,1016148,4158407,6334819,26.721
1e,3,25646404,861206,24820236,26834471,3,1200654,231636,1033029,1528206,21.360
1d,3,5764364,196439,5573701,6034676,3,408665,214999,253540,712699,14.105
1c,3,2008274,212041,1831416,2306424,3,189439,142748,83368,391227,10.601
1b,3,170959,19113,144158,187402,3,127055,108261,12001,272061,1.345
1a,3,6165,6762,1238,15726,3,5818,5591,1140,13677,1.059
2f,3,435563534,7730571,426944778,445697891,3,13866335,476130,13464015,14535099,31.411
2e,3,66339628,4449003,62825126,72616464,3,2256234,402658,1896100,2818307,29.402
2d,3,7832918,532474,7143107,8439382,3,502497,192154,317874,767495,15.587
2c,3,754278,85910,684917,875344,3,132551,121571,43531,304442,5.690
2b,3,40189,14084,23707,58115,3,37079,23091,18299,69605,1.083
2a,3,6336,6807,1429,15962,3,10119,8150,4087,21640,0.626
