os,core,cpu
Linux,2,Intel(R) Xeon(R) CPU @ 2.30GHz
test name,serial iterations,serial time,serial stdev,serial min,serial max,parallel iterations,parallel time,parallel stdev,parallel min,parallel max,speedup
1f,3,129095769,8684265,120916091,141119355,3,122599578,523402,122031917,123294802,1.052
1e,3,27341490,1001947,26446295,28740306,3,26403758,511699,25790924,27043462,1.035
1d,3,6030160,325496,5579599,6337095,3,5759725,359712,5457236,6265180,1.046
1c,3,1927721,155247,1711430,2068515,3,2000126,274279,1708101,2367237,0.963
1b,3,192508,66812,114460,277653,3,198813,98152,98075,331883,0.968
1a,3,10211,6004,5343,18670,3,13968,5386,7171,20345,0.731
2f,3,453454924,18896427,432685430,478402758,3,435648771,515485,435216101,436373225,1.040
2e,3,69814694,3882675,64359202,73081835,3,62382785,320064,61934959,62663708,1.119
2d,3,8561414,675754,7711511,9364801,3,7541431,199487,7299813,7788368,1.135
2c,3,738499,99968,624016,867577,3,738423,157950,619167,961623,1.000
2b,3,68392,29855,29818,102546,3,60368,32264,28631,104626,1.132
2a,3,13197,9394,6127,26473,3,18630,12738,4885,35586,0.708
