os,core,cpu
Linux,32,Intel(R) Xeon(R) CPU @ 2.30GHz
test name,serial iterations,serial time,serial stdev,serial min,serial max,parallel iterations,parallel time,parallel stdev,parallel min,parallel max,speedup
1f,3,144521755,5104541,137547378,149622344,3,6864019,491330,6461962,7555834,21.054
1e,3,28369444,1309749,26975038,30122530,3,1792420,138104,1674373,1986194,15.827
1d,3,6214053,507639,5574035,6815716,3,503931,189913,365527,772466,12.331
1c,3,2144244,162292,1935944,2331858,3,232784,123600,134693,407126,9.211
1b,3,166530,34435,117906,193167,3,96118,113362,12182,256376,1.732
1a,3,7171,6548,1533,16352,3,6991,6807,1212,16548,1.025
2f,3,487084972,21703048,456394796,502773905,3,25600820,299615,25182225,25867012,19.026
2e,3,76641164,4622445,72776673,83139565,3,4074669,255646,3851747,4432629,18.809
2d,3,8962691,662618,8424622,9896147,3,697559,238893,478285,1029781,12.848
2c,3,783251,65330,731927,875445,3,143545,118392,53879,310832,5.456
2b,3,38756,13776,22586,56251,3,57446,45639,22017,121883,0.674
2a,3,7696,8581,1553,19832,3,10321,9907,3243,24332,0.745
