Sequential with 10 iterations on Linux with 2 x Intel(R) Xeon(R) CPU @ 2.30GHz
1f,=2*60*1000+6*1000+988,=4*1000+402,=2*60*1000+1*1000+250,=2*60*1000+17*1000+440
1e,=28*1000+868,=342,=28*1000+350,=29*1000+446
1d,=6*1000+144,=169,=5*1000+917,=6*1000+533
1c,=2*1000+102,=35,=2*1000+55,=2*1000+163
1b,=288,=7,=278,=300
1a,=18,=0,=18,=21
2f,=7*60*1000+57*1000+137,=15*1000+362,=7*60*1000+31*1000+623,=8*60*1000+35*1000+67
2e,=1*60*1000+9*1000+86,=1*1000+643,=1*60*1000+7*1000+328,=1*60*1000+12*1000+387
2d,=9*1000+322,=319,=8*1000+918,=9*1000+967
2c,=904,=16,=874,=936
2b,=104,=2,=99,=108
2a,=27,=1,=26,=31
Parallel with 10 iterations on Linux with 2 x Intel(R) Xeon(R) CPU @ 2.30GHz
1f,=2*60*1000+182,=2*1000+907,=1*60*1000+56*1000+962,=2*60*1000+6*1000+826
1e,=27*1000+757,=662,=27*1000+23,=29*1000+414
1d,=6*1000+356,=164,=6*1000+136,=6*1000+663
1c,=2*1000+364,=17,=2*1000+341,=2*1000+386
1b,=335,=10,=320,=354
1a,=20,=1,=19,=23
2f,=7*60*1000+3*1000+189,=16*1000+405,=6*60*1000+44*1000+641,=7*60*1000+40*1000+903
2e,=1*60*1000+4*1000+439,=1*1000+614,=1*60*1000+2*1000+406,=1*60*1000+7*1000+767
2d,=7*1000+907,=139,=7*1000+683,=8*1000+141
2c,=984,=38,=912,=1*1000+54
2b,=111,=3,=102,=115
2a,=35,=2,=32,=39
