os,core,cpu
Linux,48,Intel(R) Xeon(R) CPU @ 2.30GHz
test name,serial iterations,serial time,serial stdev,serial min,serial max,parallel iterations,parallel time,parallel stdev,parallel min,parallel max,speedup
os,core,cpu
Linux,48,Intel(R) Xeon(R) CPU @ 2.30GHz
test name,serial iterations,serial time,serial stdev,serial min,serial max,parallel iterations,parallel time,parallel stdev,parallel min,parallel max,speedup
1f,3,135985526,9813242,122533178,145665564,3,5464232,846795,4850496,6661655,24.886
1e,3,28518307,1713185,27246497,30940096,3,1306106,158232,1186252,1529686,21.834
1d,3,6225721,406171,5698829,6687284,3,418997,204134,268330,707592,14.858
1c,3,1973965,158350,1751874,2109891,3,189569,111919,103445,347634,10.412
1b,3,172876,20167,145505,193503,3,75153,83566,12506,193261,2.300
1a,3,5343,4446,1158,11500,3,6125,5711,1164,14125,0.872
2f,3,467549829,9280106,456547705,479247302,3,16811342,117847,16646434,16914673,27.811
2e,3,61140538,3694431,58274332,66356745,3,2694280,203256,2470723,2962539,22.692
2d,3,7717766,495138,7363449,8417980,3,477134,128122,380574,658192,16.175
2c,3,651995,78541,579791,761192,3,97408,79011,41183,209146,6.693
2b,3,33124,10456,20002,45589,3,28683,14437,13661,48169,1.154
2a,3,5565,5693,1484,13616,3,7871,6194,3149,16621,0.707
