Sequential with 10 iterations on Linux with 8 x Intel(R) Xeon(R) CPU @ 2.20GHz
1f,=1*60*1000+57*1000+270,=788,=1*60*1000+56*1000+241,=1*60*1000+58*1000+731
1e,=26*1000+990,=364,=26*1000+467,=27*1000+789
1d,=5*1000+744,=66,=5*1000+667,=5*1000+915
1c,=1*1000+983,=73,=1*1000+919,=2*1000+159
1b,=178,=5,=172,=187
1a,=13,=0,=12,=14
2f,=7*60*1000+6*1000+516,=3*1000+310,=7*60*1000+1*1000+169,=7*60*1000+11*1000+600
2e,=1*60*1000+3*1000+394,=485,=1*60*1000+2*1000+867,=1*60*1000+4*1000+134
2d,=8*1000+697,=163,=8*1000+471,=8*1000+955
2c,=777,=7,=767,=791
2b,=59,=6,=54,=72
2a,=17,=1,=16,=19
Parallel with 10 iterations on Linux with 8 x Intel(R) Xeon(R) CPU @ 2.20GHz
1f,=24*1000+345,=425,=23*1000+559,=25*1000+15
1e,=6*1000+11,=135,=5*1000+784,=6*1000+277
1d,=1*1000+499,=74,=1*1000+405,=1*1000+660
1c,=603,=17,=571,=632
1b,=174,=13,=157,=206
1a,=14,=0,=14,=15
2f,=1*60*1000+22*1000+199,=1*1000+412,=1*60*1000+20*1000+766,=1*60*1000+25*1000+204
2e,=13*1000+123,=260,=12*1000+650,=13*1000+559
2d,=2*1000+136,=81,=2*1000+23,=2*1000+270
2c,=347,=11,=325,=366
2b,=69,=3,=64,=74
2a,=21,=0,=20,=23
