os,core,cpu
Linux,16,Intel(R) Xeon(R) CPU @ 2.30GHz
test name,serial iterations,serial time,serial stdev,serial min,serial max,parallel iterations,parallel time,parallel stdev,parallel min,parallel max,speedup
1f,3,139556312,5163318,132256045,143345545,3,14876614,589859,14438800,15710451,9.380
1e,3,28503225,1412263,27319990,30488290,3,3323177,280955,3086362,3717887,8.577
1d,3,6443129,168652,6210306,6604378,3,790184,120026,702317,959891,8.153
1c,3,2117003,163856,1885535,2242221,3,316649,113979,234275,477826,6.685
1b,3,158370,27832,122187,189879,3,78941,83514,18831,197041,2.006
1a,3,5303,4545,1170,11632,3,7769,7725,1570,18659,0.682
2f,3,455669514,15664458,444439783,477821692,3,50355253,208997,50066017,50552565,9.049
2e,3,71220095,2106445,68820659,73948765,3,7272678,280883,7060232,7669578,9.792
2d,3,9028027,727503,8196636,9968587,3,1144436,89230,1033925,1252449,7.888
2c,3,754970,62227,705183,842707,3,159417,91019,86348,287725,4.735
2b,3,44257,18847,22225,68264,3,43087,27476,19223,81576,1.027
2a,3,8450,7517,1554,18905,3,8431,7690,2950,19306,1.002
